iter	Passed	Remaining
0	36	3591
1	71	3519
2	104	3392
3	139	3336
4	176	3358
5	212	3329
6	251	3335
7	290	3339
8	330	3342
9	368	3318
10	407	3293
11	444	3256
12	482	3228
13	519	3191
14	556	3151
15	590	3099
16	628	3070
17	664	3026
18	700	2987
19	735	2943
20	767	2889
21	802	2844
22	838	2808
23	871	2760
24	915	2747
25	955	2719
26	994	2690
27	1034	2660
28	1068	2616
29	1116	2604
30	1146	2551
31	1180	2507
32	1215	2467
33	1253	2432
34	1287	2390
35	1320	2347
36	1351	2301
37	1386	2262
38	1416	2216
39	1453	2180
40	1486	2139
41	1522	2102
42	1554	2060
43	1587	2020
44	1621	1982
45	1655	1943
46	1690	1906
47	1729	1874
48	1763	1835
49	1798	1798
50	1830	1758
51	1864	1721
52	1902	1687
53	1945	1656
54	1980	1620
55	2016	1584
56	2047	1544
57	2082	1508
58	2120	1473
59	2152	1434
60	2187	1398
61	2221	1361
62	2253	1323
63	2287	1286
64	2323	1250
65	2362	1216
66	2386	1175
67	2419	1138
68	2450	1101
69	2472	1059
70	2504	1022
71	2551	992
72	2593	959
73	2632	924
74	2669	889
75	2703	853
76	2741	818
77	2774	782
78	2807	746
79	2843	710
80	2871	673
81	2907	638
82	2945	603
83	2984	568
84	3016	532
85	3062	498
86	3100	463
87	3132	427
88	3169	391
89	3200	355
90	3232	319
91	3263	283
92	3293	247
93	3323	212
94	3356	176
95	3388	141
96	3417	105
97	3445	70
98	3474	35
99	3501	0
